SENTTOT,AGE,CITIZEN,CRIMHIST,CRIMPTS,DISTRICT,DSPLEA,INOUT,MONSEX,NEWEDUC,NEWRACE,OFFGUIDE,PRESENT,SENTIMP,WEAPON,XMAXSOR,XMINSOR
324.0,29.0,3.0,0.0,0.0,40,1,,0.0,5.0,3.0,21,1.0,1,1,405.0,324.0
6.0,27.0,3.0,1.0,6.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,21.0,15.0
,38.0,1.0,,,22,5,1.0,0.0,,1.0,30,,4,0,6.0,0.0
27.0,47.0,3.0,1.0,15.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,30.0,24.0
12.03,34.0,3.0,1.0,6.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,30.0,24.0
2.2,20.0,3.0,0.0,0.0,42,5,0.0,0.0,1.0,3.0,17,1.0,1,0,6.0,0.0
0.03,26.0,3.0,1.0,1.0,70,1,0.0,0.0,3.0,3.0,17,1.0,1,0,6.0,0.0
13.03,20.0,1.0,1.0,4.0,70,1,,0.0,1.0,6.0,17,1.0,1,0,24.0,18.0
6.0,50.0,1.0,1.0,3.0,70,1,,0.0,5.0,2.0,17,3.0,1,0,27.0,21.0
120.0,35.0,1.0,1.0,3.0,68,1,,0.0,5.0,1.0,7,1.0,1,0,108.0,87.0
10.0,40.0,3.0,1.0,7.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,21.0,15.0
87.0,29.0,1.0,1.0,2.0,68,1,,0.0,3.0,2.0,10,4.0,1,0,97.0,78.0
4.4,55.0,3.0,1.0,0.0,70,1,0.0,0.0,1.0,3.0,17,1.0,1,0,6.0,0.0
180.0,42.0,1.0,1.0,0.0,68,1,,0.0,5.0,2.0,10,1.0,1,0,210.0,168.0
3.94,36.0,3.0,0.0,0.0,70,1,,1.0,1.0,3.0,17,1.0,1,0,18.0,12.0
120.0,63.0,1.0,1.0,0.0,89,1,,0.0,3.0,1.0,7,1.0,1,0,71.0,57.0
2.2,33.0,3.0,1.0,0.0,42,5,0.0,0.0,1.0,3.0,17,1.0,1,0,6.0,0.0
360.0,46.0,1.0,1.0,0.0,85,1,,0.0,3.0,6.0,27,1.0,1,0,9996.0,9996.0
